Player,APY
justinjefferson,"$35,000,000"
ajbrown,"$32,000,000"
amonrastbrown,"$30,002,500"
tyreekhill,"$30,000,000"
jaylenwaddle,"$28,250,000"
davanteadams,"$28,000,000"
djmoore,"$27,500,000"
cooperkupp,"$26,700,000"
devontasmith,"$25,000,000"
nicocollins,"$24,250,000"
dkmetcalf,"$24,000,000"
deebosamuel,"$23,850,000"
michaelpittmanjr,"$23,333,333"
terrymclaurin,"$23,200,000"
calvinridley,"$23,000,000"
stefondiggs,"$22,520,000"
teehiggins,"$21,816,000"
mikeevans,"$20,500,000"
keenanallen,"$20,025,000"
chrisgodwin,"$20,000,000"
amaricooper,"$20,000,000"
diontaejohnson,"$18,355,000"
christiankirk,"$18,000,000"
jerryjeudy,"$17,500,000"
traviskelce,"$17,125,000"
tjhockenson,"$16,500,000"
georgekittle,"$15,000,000"
tylerlockett,"$15,000,000"
dallasgoedert,"$14,250,000"
markandrews,"$14,000,000"
evanengram,"$13,750,000"
courtlandsutton,"$13,750,000"
davidnjoku,"$13,687,500"
gabrieldavis,"$13,000,000"
deandrehopkins,"$13,000,000"
darnellmooney,"$13,000,000"
colekmet,"$12,500,000"
daltonschultz,"$12,000,000"
allenlazard,"$11,000,000"
jakobimeyers,"$11,000,000"
noahfant,"$10,500,000"
taysomhill,"$10,000,000"
mikewilliams,"$10,000,000"
brandincooks,"$10,000,000"
dawsonknox,"$9,833,333"
hunterhenry,"$9,000,000"
marvinharrisonjr,"$8,843,686"
tylerhigbee,"$8,500,000"
adamthielen,"$8,333,333"
kylepitts,"$8,227,624"
curtissamuel,"$8,000,000"
jamarrchase,"$7,704,911"
jauanjennings,"$7,695,000"
robertwoods,"$7,625,000"
colbyparkinson,"$7,500,000"
maliknabers,"$7,301,938"
josholiver,"$7,000,000"
marquisebrown,"$7,000,000"
tylerconklin,"$6,750,000"
kendrickbourne,"$6,500,000"
rashodbateman,"$6,435,949"
dariusslayton,"$6,200,000"
juwanjohnson,"$6,005,000"
geraldeverett,"$6,000,000"
moaliecox,"$5,850,000"
romeodunze,"$5,681,125"
drakelondon,"$5,383,618"
kalifraymond,"$5,250,000"
garrettwilson,"$5,138,502"
chrisolave,"$4,817,968"
willdissly,"$4,666,666"
brockbowers,"$4,534,696"
joshreynolds,"$4,500,000"
jamesonwilliams,"$4,365,448"
devinduvernay,"$4,250,000"
mackwilson,"$4,250,000"
jonnusmith,"$4,200,000"
fostermoreau,"$4,078,000"
brockwright,"$4,000,000"
demarcusrobinson,"$4,000,000"
charliewoerner,"$4,000,000"
noahbrown,"$4,000,000"
kjosborn,"$4,000,000"
durhamsmythe,"$3,875,000"
jahandotson,"$3,762,089"
adamtrautman,"$3,750,000"
nelsonagholor,"$3,750,000"
brianthomasjr,"$3,664,995"
jaxonsmithnjigba,"$3,604,327"
ashtondulin,"$3,600,000"
treylonburks,"$3,592,398"
quentinjohnston,"$3,547,197"
zayflowers,"$3,509,110"
ceedeelamb,"$3,502,504"
drewsample,"$3,500,000"
xavierworthy,"$3,447,566"
jordanaddison,"$3,432,934"
kadariustoney,"$3,429,877"
daltonkincaid,"$3,356,760"
harrisonbryant,"$3,250,000"
pharaohbrown,"$3,200,000"
rickypearsall,"$3,134,600"
brandonaiyuk,"$3,132,838"
andrewbeck,"$3,125,000"
rashidshaheed,"$3,092,500"
xavierlegette,"$3,089,294"
cordarrellepatterson,"$3,000,000"
odellbeckhamjr,"$3,000,000"
zachertz,"$3,000,000"
djchark,"$3,000,000"
austinhooper,"$3,000,000"
cedrickwilsonjr,"$2,875,000"
mackhollins,"$2,600,000"
keoncoleman,"$2,518,565"
rayraymccloud,"$2,500,000"
mikegesicki,"$2,500,000"
laddmcconkey,"$2,498,797"
jalynnpolk,"$2,423,686"
tylerboyd,"$2,400,000"
samlaporta,"$2,366,500"
michaelmayer,"$2,328,410"
christianwatson,"$2,310,257"
zachpascal,"$2,250,000"
marquezvaldesscantling,"$2,250,000"
zayjones,"$2,250,000"
elijahmoore,"$2,235,106"
jonathanmingo,"$2,214,152"
braxtonberrios,"$2,150,000"
lukemusgrave,"$2,118,936"
wandalerobinson,"$2,046,292"
johnmetchieiii,"$2,017,544"
brandonpowell,"$2,000,000"
chrismoore,"$2,000,000"
nickwestbrookikhine,"$2,000,000"
johnnymundt,"$2,000,000"
marcedeslewis,"$2,000,000"
jordanakins,"$1,950,000"
adonaimitchell,"$1,846,522"
bensinnott,"$1,806,988"
jaydenreed,"$1,795,195"
trentsherfield,"$1,790,000"
tyquanthornton,"$1,763,465"
rondalemoore,"$1,731,064"
justinwatson,"$1,700,000"
georgepickens,"$1,688,047"
alecpierce,"$1,650,336"
rasheerice,"$1,623,805"
skyymoore,"$1,612,627"
treymcbride,"$1,574,915"
lukeschoonmaker,"$1,566,670"
chrisconley,"$1,550,000"
brentonstrange,"$1,528,586"
malachicorley,"$1,518,364"
marvinmims,"$1,517,159"
patfreiermuth,"$1,507,045"
trentonirwin,"$1,500,000"
