Player,Pos,G,Tgt,Rec,Yds,TD
justinjefferson,WR,17,184,128,1809,8
tyreekhill,WR,17,170,119,1710,7
davanteadams,WR,17,180,100,1516,14
ajbrown,WR,17,145,88,1496,11
stefondiggs,WR,16,154,108,1429,11
ceedeelamb,WR,17,156,107,1359,9
jaylenwaddle,WR,17,117,75,1356,8
traviskelce,TE,17,152,110,1338,12
devontasmith,WR,17,136,95,1196,7
terrymclaurin,WR,17,120,77,1191,5
amonrastbrown,WR,16,146,106,1161,6
amaricooper,WR,17,132,78,1160,9
mikeevans,WR,15,127,77,1124,6
christiankirk,WR,17,133,84,1108,8
garrettwilson,WR,17,147,83,1103,4
dkmetcalf,WR,17,141,90,1048,6
jamarrchase,WR,12,134,87,1046,9
chrisolave,WR,15,119,72,1042,4
tylerlockett,WR,16,117,84,1033,9
teehiggins,WR,16,109,74,1029,7
chrisgodwin,WR,15,142,104,1023,3
brandonaiyuk,WR,17,114,78,1015,8
jerryjeudy,WR,15,100,67,972,6
jujusmithschuster,WR,16,101,78,933,3
michaelpittmanjr,WR,16,141,99,925,4
tjhockenson,TE,17,129,86,914,6
mikewilliams,WR,13,93,63,895,4
djmoore,WR,17,118,63,888,7
diontaejohnson,WR,17,147,86,882,0
drakelondon,WR,17,117,72,866,4
markandrews,TE,15,113,73,847,5
donovanpeoplesjones,WR,17,96,61,839,3
gabrieldavis,WR,15,93,48,836,7
courtlandsutton,WR,15,109,64,829,2
zayjones,WR,16,121,82,823,5
cooperkupp,WR,9,98,75,812,6
jakobimeyers,WR,14,96,67,804,6
georgepickens,WR,17,84,52,801,4
allenlazard,WR,15,100,60,788,6
joshpalmer,WR,16,107,72,769,3
evanengram,TE,17,98,73,766,4
georgekittle,TE,15,86,60,765,11
tylerboyd,WR,16,82,58,762,5
keenanallen,WR,10,89,66,752,4
christianmccaffrey,RB,17,108,85,741,5
patfreiermuth,TE,16,98,63,732,2
dariusslayton,WR,16,71,46,724,2
austinekeler,RB,17,127,107,722,5
deandrehopkins,WR,9,96,64,717,3
adamthielen,WR,17,107,70,716,6
marquisebrown,WR,12,107,67,709,3
dallasgoedert,TE,12,69,55,702,3
brandincooks,WR,13,93,57,699,3
mackhollins,WR,17,94,57,690,4
marquezvaldesscantling,WR,17,81,42,687,2
curtissamuel,WR,17,92,64,656,4
kjosborn,WR,17,90,60,650,5
deebosamuel,WR,13,94,56,632,2
davidnjoku,TE,14,80,58,628,4
parriscampbell,WR,17,91,63,623,3
tylerhigbee,TE,17,108,72,620,3
kalifraymond,WR,17,64,47,616,0
christianwatson,WR,14,66,41,611,7
alecpierce,WR,16,78,41,593,2
daltonschultz,TE,15,89,57,577,5
richiejames,WR,17,70,57,569,4
geraldeverett,TE,16,87,58,555,4
noahbrown,WR,16,74,43,555,3
tylerconklin,TE,17,87,58,552,3
chrismoore,WR,16,74,48,548,2
colekmet,TE,17,69,50,544,7
devanteparker,WR,13,47,31,539,3
deandrecarter,WR,17,65,46,538,3
coreydavis,WR,13,64,32,536,2
olamidezaccheaus,WR,17,61,40,533,3
marvinjones,WR,16,81,46,529,3
robertwoods,WR,17,91,53,527,2
leonardfournette,RB,16,83,73,523,3
jahandotson,WR,12,61,35,523,7
dawsonknox,TE,15,65,48,517,6
jerickmckinnon,RB,17,71,56,512,9
hunterhenry,TE,17,59,41,509,2
juwanjohnson,TE,16,65,42,508,7
djchark,WR,11,52,30,502,3
jordanakins,TE,15,54,37,495,5
darnellmooney,WR,12,61,40,493,2
alvinkamara,RB,15,77,57,490,2
terracemarshalljr,WR,14,47,28,490,1
rashidshaheed,WR,12,34,28,488,2
noahfant,TE,17,63,50,486,4
nicocollins,WR,10,66,37,481,2
joshreynolds,WR,14,59,38,479,3
roberttonyan,TE,17,67,53,470,2
gregdortch,WR,16,64,52,467,2
demarcusrobinson,WR,17,75,48,458,2
chaseclaypool,WR,15,79,46,451,1
chigoziemokonkwo,TE,17,46,32,450,3
elijahmoore,WR,16,65,37,446,1
austinhooper,TE,17,60,41,444,2
treylonburks,WR,11,54,33,444,1
joemixon,RB,14,75,60,441,2
kendrickbourne,WR,16,48,35,434,1
russellgage,WR,13,70,51,426,5
romeodoubs,WR,13,67,42,425,3
michaelgallup,WR,14,74,39,424,4
isaiahmckenzie,WR,15,65,42,423,4
rhamondrestevenson,RB,17,88,69,421,1
fostermoreau,TE,15,54,33,420,2
randallcobb,WR,13,50,34,417,1
trentsherfield,WR,17,51,30,417,2
jauanjennings,WR,16,56,35,416,1
haydenhurst,TE,13,68,52,414,2
rondalemoore,WR,8,56,41,414,1
gregdulcich,TE,10,55,33,411,2
devinduvernay,WR,14,49,37,407,3
zachertz,TE,10,69,47,406,4
joshjacobs,RB,17,64,53,400,0
derrickhenry,RB,16,41,33,398,0
nickwestbrookikhine,WR,17,50,25,397,3
aaronjones,RB,17,72,59,395,5
isaiahhodgins,WR,10,48,37,392,4
cadeotton,TE,16,65,42,391,2
dandreswift,RB,14,70,48,389,3
darrenwaller,TE,9,43,28,388,3
marquisegoodwin,WR,13,42,27,387,4
benskowronek,WR,14,61,39,376,0
isaiahlikely,TE,16,60,36,373,3
tonypollard,RB,16,55,39,371,3
vanjefferson,WR,11,44,24,369,3
mikegesicki,TE,17,52,32,362,5
nelsonagholor,WR,16,53,31,362,2
kylepitts,TE,10,59,28,356,2
quezwatkins,WR,17,51,33,354,3
antoniogibson,RB,15,58,46,353,2
willdissly,TE,15,38,34,349,3
allenrobinson,WR,10,52,33,339,3
saquonbarkley,RB,16,76,57,338,0
hunterrenfrow,WR,10,50,36,330,2
sammywatkins,WR,12,27,16,325,0
loganthomas,TE,14,61,39,323,1
equanimeousstbrown,WR,16,38,21,323,1
colbyparkinson,TE,17,34,25,322,2
travisetienne,RB,17,45,35,316,0
davidmontgomery,RB,16,40,34,316,1
justinwatson,WR,17,34,15,315,2
jelaniwoods,TE,15,40,25,312,3
kendallhinton,WR,12,33,24,311,0
kylengranson,TE,13,40,31,302,0
jamesconner,RB,13,58,46,300,1
noahgray,TE,17,34,28,299,1
juliojones,WR,10,43,24,299,2
tutuatwell,WR,13,35,18,298,1
mecolehardman,WR,8,34,25,297,4
shismith,WR,17,41,22,296,2
dalvincook,RB,17,56,39,295,2
rachaadwhite,RB,17,58,50,290,2
michaelcarter,RB,16,54,41,288,0
samajeperine,RB,16,51,38,287,4
rashodbateman,WR,6,28,15,285,2
robbiechosen,WR,16,44,20,282,1
devinsingletary,RB,16,52,38,280,1
trequansmith,WR,15,27,19,278,1
laviskashenaultjr,WR,13,32,27,272,1
jarvislandry,WR,9,39,25,272,1
danielbellinger,TE,12,35,30,268,2
damierebyrd,WR,14,23,13,268,2
treymcbride,TE,16,39,29,265,1
phillipdorsett,WR,15,40,20,257,1
skyymoore,WR,16,33,22,250,0
tyquanthornton,WR,13,45,22,247,2
jonnusmith,TE,14,38,27,245,0
dantepettis,WR,17,41,19,245,3
rayraymccloud,WR,17,25,14,243,1
nyheimhines,RB,16,37,30,241,1
harrisonbryant,TE,17,42,31,239,1
nickchubb,RB,17,37,27,239,1
ajgreen,WR,15,47,24,236,2
cjuzomah,TE,15,27,21,232,2
trentonirwin,WR,9,23,15,231,4
najeeharris,RB,17,53,41,229,3
wandalerobinson,WR,6,31,23,227,1
melvingordon,RB,10,32,25,223,0
breecehall,RB,7,31,19,218,1
brockwright,TE,17,24,18,216,4
jaylenwarren,RB,16,33,28,214,0
davidbell,WR,16,35,24,214,0
ameerabdullah,RB,17,32,25,211,1
kareemhunt,RB,17,44,35,210,1
deonjackson,RB,16,34,30,209,1
adamtrautman,TE,15,22,18,207,1
ashtondulin,WR,12,22,15,207,1
ajdillon,RB,17,43,28,206,0
rexburkhead,RB,16,51,37,204,1
amarirodgers,WR,16,25,16,204,1
raheemmostert,RB,16,42,31,202,2
khadarelhodge,WR,17,20,13,202,1
kylejuszczyk,FB,16,23,19,200,1
ianthomas,TE,17,30,21,197,0
enobenjamin,RB,15,34,25,193,0
moaliecox,TE,17,28,19,189,3
jamalagnew,WR,15,30,23,187,3
denzelmims,WR,10,25,11,186,0
scottmiller,WR,15,40,23,185,0
jeffwilson,RB,16,37,22,185,1
irvsmithjr,TE,8,36,25,182,2
jamescook,RB,16,32,21,180,1
jalennailor,WR,15,13,9,179,1
dontrellhilliard,RB,12,26,21,177,4
cameronbrate,TE,11,38,20,174,0
jakeferguson,TE,16,22,19,174,2
tommytremble,TE,17,32,19,174,3
jdmckissic,RB,8,40,27,173,0
michaelthomas,WR,3,22,16,171,3
kadariustoney,WR,9,20,16,171,2
chubahubbard,RB,15,17,14,171,0
kennethgainwell,RB,17,29,23,169,0
dameonpierce,RB,13,39,30,165,1
kennethwalkeriii,RB,15,35,27,165,0
kjhamler,WR,7,14,7,165,0
khalilshakir,WR,14,20,10,161,1
marquezcallaway,WR,14,32,16,158,1
chaseedmonds,RB,13,24,16,157,1
travishomer,RB,10,18,16,157,1
brandonpowell,WR,17,32,24,156,0
sterlingshepard,WR,3,24,13,154,1
deseanjackson,WR,7,17,9,153,0
clydeedwardshelaire,RB,10,23,17,151,3
connorheyward,TE,17,17,12,151,1
mycolepruitt,TE,13,21,16,150,4
zachpascal,WR,17,19,15,150,1
josholiver,TE,17,25,14,149,2
ericsaubert,TE,17,24,15,148,1
braxtonberrios,WR,17,32,18,145,0
ojhoward,TE,13,23,10,145,2
