Player,Pos,Age,G,GS,Tgt,Rec,Yds,TD
tyreekhill,WR,29,16,16,171,119,1799,13
ceedeelamb,WR,24,17,17,181,135,1749,12
amonrastbrown,WR,24,16,16,164,119,1515,10
pukanacua,WR,22,17,17,160,105,1486,6
ajbrown,WR,26,17,17,158,106,1456,7
djmoore,WR,26,17,17,136,96,1364,8
brandonaiyuk,WR,25,16,16,105,75,1342,7
nicocollins,WR,24,15,10,109,80,1297,8
mikeevans,WR,30,17,17,136,79,1255,13
amaricooper,WR,29,15,15,128,72,1250,5
keenanallen,WR,31,13,13,150,108,1243,7
jamarrchase,WR,23,16,16,145,100,1216,7
stefondiggs,WR,30,17,17,160,107,1183,8
michaelpittmanjr,WR,26,16,15,156,109,1152,4
davanteadams,WR,31,17,17,175,103,1144,8
georgepickens,WR,22,17,16,106,63,1140,5
chrisolave,WR,23,16,11,138,87,1123,5
dkmetcalf,WR,26,16,16,119,66,1114,8
justinjefferson,WR,24,10,9,100,68,1074,5
devontasmith,WR,25,16,16,112,81,1066,7
deandrehopkins,WR,31,17,16,137,75,1057,7
garrettwilson,WR,23,17,17,168,95,1042,3
chrisgodwin,WR,27,17,17,130,83,1024,2
georgekittle,TE,30,16,16,90,65,1020,6
calvinridley,WR,29,17,17,136,76,1016,8
adamthielen,WR,33,17,17,137,103,1014,4
jaylenwaddle,WR,25,14,14,104,72,1014,4
terrymclaurin,WR,28,17,17,132,79,1002,4
traviskelce,TE,34,15,15,121,93,984,5
evanengram,TE,29,17,15,143,114,963,4
tjhockenson,TE,26,15,11,127,95,960,5
rasheerice,WR,23,16,8,102,79,938,7
jordanaddison,WR,21,17,14,108,70,911,10
drakelondon,WR,22,16,16,110,69,905,2
tylerlockett,WR,31,17,17,122,79,894,5
deebosamuel,WR,27,15,15,89,60,892,7
samlaporta,TE,22,17,14,120,86,889,10
davidnjoku,TE,27,16,16,123,81,882,6
zayflowers,WR,23,16,16,108,77,858,5
treymcbride,TE,24,17,12,106,81,825,3
jakobimeyers,WR,27,16,16,106,71,807,8
jaydenreed,WR,23,16,13,94,64,793,8
christiankirk,WR,27,12,12,85,57,787,3
courtlandsutton,WR,28,16,14,90,59,772,10
joshdowns,WR,22,17,9,98,68,771,2
dariusslayton,WR,26,17,13,79,50,770,4
jakeferguson,TE,24,17,16,102,71,761,5
jerryjeudy,WR,24,16,11,87,54,758,2
gabrieldavis,WR,24,17,17,81,45,746,7
cooperkupp,WR,30,12,12,95,59,737,5
colekmet,TE,24,17,17,90,73,719,6
rashidshaheed,WR,25,15,8,75,46,719,5
diontaejohnson,WR,27,13,11,87,51,717,5
tankdell,WR,24,11,8,75,47,709,7
romeodoubs,WR,23,17,16,96,59,674,8
daltonkincaid,TE,24,16,11,91,73,673,2
tylerboyd,WR,29,17,13,98,67,667,2
kylepitts,TE,23,17,15,90,53,667,3
brandincooks,WR,30,16,15,81,54,657,8
teehiggins,WR,24,12,11,76,42,656,5
elijahmoore,WR,23,17,12,104,59,640,2
daltonschultz,TE,27,15,8,88,59,635,5
jaxonsmithnjigba,WR,21,17,3,93,63,628,4
tylerconklin,TE,28,17,12,87,61,621,0
curtissamuel,WR,27,16,13,91,62,613,4
khalilshakir,WR,23,17,10,45,39,611,2
joshreynolds,WR,28,17,13,64,40,608,5
dallasgoedert,TE,28,14,14,83,59,592,3
breecehall,RB,22,17,16,95,76,591,4
jonnusmith,TE,28,17,6,70,50,582,3
dontayvionwicks,WR,22,15,6,58,39,581,4
joshpalmer,WR,24,10,6,61,38,581,2
marquisebrown,WR,26,14,14,101,51,574,4
noahbrown,WR,27,10,7,55,33,567,2
michaelwilson,WR,23,13,12,58,38,565,3
odellbeckhamjr,WR,31,14,6,64,35,565,3
