Player,APY
justinjefferson,35000000
ajbrown,32000000
amonrastbrown,30002500
tyreekhill,30000000
jaylenwaddle,28250000
davanteadams,28000000
djmoore,27500000
cooperkupp,26700000
devontasmith,25000000
nicocollins,24250000
dkmetcalf,24000000
deebosamuel,23850000
michaelpittmanjr,23333333
terrymclaurin,23200000
calvinridley,23000000
stefondiggs,22520000
teehiggins,21816000
mikeevans,20500000
keenanallen,20025000
chrisgodwin,20000000
amaricooper,20000000
diontaejohnson,18355000
christiankirk,18000000
jerryjeudy,17500000
traviskelce,17125000
tjhockenson,16500000
georgekittle,15000000
tylerlockett,15000000
dallasgoedert,14250000
markandrews,14000000
evanengram,13750000
courtlandsutton,13750000
davidnjoku,13687500
gabrieldavis,13000000
deandrehopkins,13000000
darnellmooney,13000000
colekmet,12500000
daltonschultz,12000000
allenlazard,11000000
jakobimeyers,11000000
noahfant,10500000
taysomhill,10000000
mikewilliams,10000000
brandincooks,10000000
dawsonknox,9833333
hunterhenry,9000000
marvinharrisonjr,8843686
tylerhigbee,8500000
adamthielen,8333333
kylepitts,8227624
curtissamuel,8000000
jamarrchase,7704911
jauanjennings,7695000
robertwoods,7625000
colbyparkinson,7500000
maliknabers,7301938
josholiver,7000000
marquisebrown,7000000
tylerconklin,6750000
kendrickbourne,6500000
rashodbateman,6435949
dariusslayton,6200000
juwanjohnson,6005000
geraldeverett,6000000
moaliecox,5850000
romeodunze,5681125
drakelondon,5383618
kalifraymond,5250000
garrettwilson,5138502
chrisolave,4817968
willdissly,4666666
brockbowers,4534696
joshreynolds,4500000
jamesonwilliams,4365448
devinduvernay,4250000
mackwilson,4250000
jonnusmith,4200000
fostermoreau,4078000
brockwright,4000000
demarcusrobinson,4000000
charliewoerner,4000000
noahbrown,4000000
kjosborn,4000000
durhamsmythe,3875000
jahandotson,3762089
adamtrautman,3750000
nelsonagholor,3750000
brianthomasjr,3664995
jaxonsmithnjigba,3604327
ashtondulin,3600000
treylonburks,3592398
quentinjohnston,3547197
zayflowers,3509110
ceedeelamb,3502504
drewsample,3500000
xavierworthy,3447566
jordanaddison,3432934
kadariustoney,3429877
daltonkincaid,3356760
harrisonbryant,3250000
pharaohbrown,3200000
rickypearsall,3134600
brandonaiyuk,3132838
andrewbeck,3125000
rashidshaheed,3092500
xavierlegette,3089294
cordarrellepatterson,3000000
odellbeckhamjr,3000000
zachertz,3000000
djchark,3000000
austinhooper,3000000
cedrickwilsonjr,2875000
mackhollins,2600000
keoncoleman,2518565
rayraymccloud,2500000
mikegesicki,2500000
laddmcconkey,2498797
jalynnpolk,2423686
tylerboyd,2400000
samlaporta,2366500
michaelmayer,2328410
christianwatson,2310257
zachpascal,2250000
marquezvaldesscantling,2250000
zayjones,2250000
elijahmoore,2235106
jonathanmingo,2214152
braxtonberrios,2150000
lukemusgrave,2118936
wandalerobinson,2046292
johnmetchieiii,2017544
brandonpowell,2000000
chrismoore,2000000
nickwestbrookikhine,2000000
johnnymundt,2000000
marcedeslewis,2000000
jordanakins,1950000
adonaimitchell,1846522
bensinnott,1806988
jaydenreed,1795195
trentsherfield,1790000
tyquanthornton,1763465
rondalemoore,1731064
justinwatson,1700000
georgepickens,1688047
alecpierce,1650336
rasheerice,1623805
skyymoore,1612627
treymcbride,1574915
lukeschoonmaker,1566670
chrisconley,1550000
brentonstrange,1528586
malachicorley,1518364
marvinmims,1517159
patfreiermuth,1507045
trentonirwin,1500000
tutuatwell,1477175
jermaineburton,1455224
tipreiman,1447478
romanwilson,1436292
terracemarshalljr,1432371
kennyyeboah,1425000
tankdell,1422276
jalenmcmillan,1415756
ihmirsmithmarsette,1410000
jalinhyatt,1406329
cedrictillman,1402616
albertokwuegbunam,1400000
lukemccaffrey,1399078
tuckerkraft,1384483
joshdowns,1380114
sterlingshepard,1377500
cjuzomah,1377500
chrismanhertz,1377500
justinhardee,1377500
isaiahmckenzie,1377500
velusjonesjr,1351481
jelaniwoods,1343121
darnellwashington,1338478
michaelwilson,1334866
tretucker,1326021
cameronlatu,1326021
stevensims,1325000
gregdulcich,1314785
allenrobinson,1310000
donovanpeoplesjones,1300000
ianthomas,1300000
timpatrick,1295000
josiahdeguara,1292500
parriscampbell,1292500
quezwatkins,1292500
scottmiller,1292500
laviskashenault,1292500
rossdwelley,1292500
russellgage,1292500
deonteharty,1292500
olamidezaccheaus,1292500
tannerhudson,1292500
irvsmithjr,1292500
milesboykin,1292500
vanjefferson,1292500
khadarelhodge,1292500
ericsaubert,1292500
rivercracraft,1292500
jalenreagor,1292500
davidmoore,1292500
jalenguyton,1292500
jalentolbert,1283930
donaldparham,1267500
davidbell,1261226
jeremyruckert,1261226
dannygray,1261226
jatavionsanders,1261059
jamisoncrowder,1260000
mycolepruitt,1260000
joshpalmer,1258014
hunterlong,1242174
dyamibrown,1236000
tommytremble,1231609
jodyfortson,1225000
chaseclaypool,1225000
troyfranklin,1218709
theojohnson,1212859
laquontreadwell,1210000
robbiechosen,1210000
damierebyrd,1210000
nickvannett,1210000
