Player,Tgt,Rec,Yds,TD
adamthielen,122.62,86.81,888.34,7.23
adamtrautman,37.78,25.31,254.62,2.27
ajbrown,147.57,92.96,1382.06,8.32
albertokwuegbunam,38.58,28.12,277.88,1.96
alecpierce,73.67,37.61,570.27,2.06
allenlazard,80.75,47.52,622.82,5.8
allenrobinson,72.79,45.77,448.54,1.74
amaricooper,131.66,78.85,1184.57,7.96
amonrastbrown,148.84,109.29,1244.82,7.29
andrebaccellia,21.25,14.88,95.62,0.0
andreiiosivas,26.56,15.94,123.25,4.25
andrewbeck,14.38,6.54,90.23,0.0
andrewogletree,29.75,12.75,208.25,2.83
andyisabella,7.85,3.92,44.46,0.0
anthonymiller,68.0,34.0,141.67,5.67
anthonyschwartz,22.44,9.52,126.48,0.68
antoinegreen,3.78,1.89,3.78,0.0
armanirogers,9.27,7.73,98.91,0.0
ashtondulin,25.79,16.41,222.76,1.76
atperry,30.6,20.4,418.2,6.8
austinhooper,51.68,35.36,347.82,1.7
austintrammell,8.5,4.64,32.45,0.0
bensims,6.0,4.0,21.0,1.0
bomelton,81.6,54.4,741.2,3.4
brandincooks,116.36,75.93,904.02,6.42
brandonaiyuk,103.02,71.06,1082.22,6.8
brandonjohnson,37.4,21.25,277.1,4.25
brandonpowell,38.0,26.5,240.0,0.5
braxtonberrios,45.1,31.57,282.41,1.04
braylonsanders,17.0,11.33,96.33,0.0
brentonstrange,10.93,6.07,42.5,1.21
brevinjordan,38.5,25.5,262.5,2.5
britaincovey,6.38,4.25,44.62,0.0
brockwright,22.8,17.83,175.8,2.9
byronpringle,37.02,24.93,326.4,2.64
cadeotton,68.0,45.85,435.82,3.09
calvinridley,145.27,82.68,1002.23,7.73
cedrickwilsonjr,43.24,29.2,382.13,3.33
cedrictillman,53.43,25.5,272.0,0.0
ceedeelamb,155.38,109.14,1431.4,9.18
charliejones,13.91,10.82,98.91,0.0
charliekolar,15.0,11.0,136.0,1.0
charliewoerner,3.67,2.67,28.0,0.0
chaseclaypool,82.98,45.74,561.81,1.62
chigoziemokonkwo,61.5,43.0,489.0,2.0
chrisconley,25.76,14.94,225.64,1.03
chrisgodwin,147.46,105.33,1164.13,3.7
chrismanhertz,7.14,4.76,43.86,0.34
chrismoore,49.49,34.38,452.96,1.51
chrismyarick,12.75,6.38,36.12,2.12
chrisolave,140.94,87.19,1187.26,4.94
christiankirk,118.63,80.57,1063.24,5.91
christianwatson,87.96,51.0,763.52,8.87
cjuzomah,40.33,30.84,309.56,3.16
codythompson,2.43,2.43,24.29,0.0
codywhite,7.44,6.38,37.19,0.0
colbyparkinson,26.92,19.48,213.21,1.42
colefotheringham,8.5,8.5,51.0,0.0
