Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Tyreek Hill*+,MIA,29,WR,16,16,171,119,69.60%,1799,15.1,13,83,57.9,78,10.5,7.4,112.4,1
2,CeeDee Lamb*+,DAL,24,WR,17,17,181,135,74.60%,1749,13,12,80,63.5,92,9.7,7.9,102.9,3
3,Amon-Ra St. Brown*+,DET,24,WR,16,16,164,119,72.60%,1515,12.7,10,75,61.6,70,9.2,7.4,94.7,1
4,Puka Nacua*,LAR,22,WR,17,17,160,105,65.60%,1486,14.2,6,68,56.9,80,9.3,6.2,87.4,1
5,A.J. Brown*,PHI,26,WR,17,17,158,106,67.10%,1456,13.7,7,70,56.3,59,9.2,6.2,85.6,2
6,D.J. Moore,CHI,26,WR,17,17,136,96,70.60%,1364,14.2,8,64,59.6,58,10,5.6,80.2,1
7,Brandon Aiyuk,SFO,25,WR,16,16,105,75,71.40%,1342,17.9,7,61,70.5,76,12.8,4.7,83.9,1
8,Nico Collins,HOU,24,WR,15,10,109,80,73.40%,1297,16.2,8,53,61.5,75,11.9,5.3,86.5,1
9,Mike Evans*,TAM,30,WR,17,17,136,79,58.10%,1255,15.9,13,54,53.7,75,9.2,4.6,73.8,0
10,Amari Cooper*,CLE,29,WR,15,15,128,72,56.30%,1250,17.4,5,50,53.1,75,9.8,4.8,83.3,2
11,Keenan Allen*,LAC,31,WR,13,13,150,108,72.00%,1243,11.5,7,57,58.7,42,8.3,8.3,95.6,2
12,Ja'Marr Chase*,CIN,23,WR,16,16,145,100,69.00%,1216,12.2,7,63,56.6,76,8.4,6.3,76,1
13,Stefon Diggs*,BUF,30,WR,17,17,160,107,66.90%,1183,11.1,8,58,55,55,7.4,6.3,69.6,2
14,Michael Pittman Jr.,IND,26,WR,16,15,156,109,69.90%,1152,10.6,4,53,51.9,75,7.4,6.8,72,2
15,Davante Adams,LVR,31,WR,17,17,175,103,58.90%,1144,11.1,8,59,48.6,46,6.5,6.1,67.3,0
16,George Pickens,PIT,22,WR,17,16,106,63,59.40%,1140,18.1,5,42,50.9,86,10.8,3.7,67.1,3
17,Chris Olave,NOR,23,WR,16,11,138,87,63.00%,1123,12.9,5,57,53.6,51,8.1,5.4,70.2,0
18,D.K. Metcalf*,SEA,26,WR,16,16,119,66,55.50%,1114,16.9,8,52,51.3,73,9.4,4.1,69.6,0
19,Justin Jefferson,MIN,24,WR,10,9,100,68,68.00%,1074,15.8,5,51,61,52,10.7,6.8,107.4,1
20,DeVonta Smith,PHI,25,WR,16,16,112,81,72.30%,1066,13.2,7,47,55.4,63,9.5,5.1,66.6,1
21,DeAndre Hopkins,TEN,31,WR,17,16,137,75,54.70%,1057,14.1,7,48,43.8,61,7.7,4.4,62.2,0
22,Garrett Wilson,NYJ,23,WR,17,17,168,95,56.50%,1042,11,3,47,44,68,6.2,5.6,61.3,2
23,Chris Godwin,TAM,27,WR,17,17,130,83,63.80%,1024,12.3,2,53,50,47,7.9,4.9,60.2,0
24,George Kittle*+,SFO,30,TE,16,16,90,65,72.20%,1020,15.7,6,42,60,66,11.3,4.1,63.8,0
25,Calvin Ridley,JAX,29,WR,17,17,136,76,55.90%,1016,13.4,8,49,48.5,59,7.5,4.5,59.8,1
26,Adam Thielen,CAR,33,WR,17,17,137,103,75.20%,1014,9.8,4,56,58.4,32,7.4,6.1,59.6,2
27,Jaylen Waddle,MIA,25,WR,14,14,104,72,69.20%,1014,14.1,4,47,58.7,60,9.8,5.1,72.4,0
28,Terry McLaurin,WAS,28,WR,17,17,132,79,59.80%,1002,12.7,4,47,49.2,48,7.6,4.6,58.9,0
29,Travis Kelce*,KAN,34,TE,15,15,121,93,76.90%,984,10.6,5,50,62,53,8.1,6.2,65.6,1
30,Evan Engram*,JAX,29,TE,17,15,143,114,79.70%,963,8.4,4,47,53.1,34,6.7,6.7,56.6,3
31,T.J. Hockenson,MIN,26,TE,15,11,127,95,74.80%,960,10.1,5,48,53.5,29,7.6,6.3,64,1
32,Rashee Rice,KAN,23,WR,16,8,102,79,77.50%,938,11.9,7,44,61.8,67,9.2,4.9,58.6,2
33,Jordan Addison,MIN,21,WR,17,14,108,70,64.80%,911,13,10,38,50,62,8.4,4.1,53.6,0
34,Drake London,ATL,22,WR,16,16,110,69,62.70%,905,13.1,2,45,52.7,45,8.2,4.3,56.6,0
35,Tyler Lockett,SEA,31,WR,17,17,122,79,64.80%,894,11.3,5,47,58.2,37,7.3,4.6,52.6,0
36,Deebo Samuel,SFO,27,WR,15,15,89,60,67.40%,892,14.9,7,34,56.2,54,10,4,59.5,1
37,Sam LaPorta*,DET,22,TE,17,14,120,86,71.70%,889,10.3,10,48,55.8,48,7.4,5.1,52.3,0
38,David Njoku*,CLE,27,TE,16,16,123,81,65.90%,882,10.9,6,35,43.9,43,7.2,5.1,55.1,2
39,Zay Flowers,BAL,23,WR,16,16,108,77,71.30%,858,11.1,5,41,55.6,75,7.9,4.8,53.6,0
40,Trey McBride,ARI,24,TE,17,12,106,81,76.40%,825,10.2,3,42,57.5,38,7.8,4.8,48.5,1
41,Jakobi Meyers,LVR,27,WR,16,16,106,71,67.00%,807,11.4,8,46,54.7,33,7.6,4.4,50.4,0
42,Jayden Reed,GNB,23,WR,16,13,94,64,68.10%,793,12.4,8,32,51.1,59,8.4,4,49.6,2
43,Christian Kirk,JAX,27,WR,12,12,85,57,67.10%,787,13.8,3,34,57.6,57,9.3,4.8,65.6,2
44,Courtland Sutton,DEN,28,WR,16,14,90,59,65.60%,772,13.1,10,37,54.4,46,8.6,3.7,48.3,3
45,Josh Downs,IND,22,WR,17,9,98,68,69.40%,771,11.3,2,30,50,59,7.9,4,45.4,0
46,Darius Slayton,NYG,26,WR,17,13,79,50,63.30%,770,15.4,4,29,49.4,80,9.7,2.9,45.3,0
47,Jake Ferguson*,DAL,24,TE,17,16,102,71,69.60%,761,10.7,5,40,55.9,40,7.5,4.2,44.8,0
48,Jerry Jeudy,DEN,24,WR,16,11,87,54,62.10%,758,14,2,28,46,47,8.7,3.4,47.4,1
49,Gabriel Davis,BUF,24,WR,17,17,81,45,55.60%,746,16.6,7,34,53.1,57,9.2,2.6,43.9,1
50,Cooper Kupp,LAR,30,WR,12,12,95,59,62.10%,737,12.5,5,33,49.5,62,7.8,4.9,61.4,0
51,Cole Kmet,CHI,24,TE,17,17,90,73,81.10%,719,9.8,6,36,62.2,53,8,4.3,42.3,1
52,Rashid Shaheed*+,NOR,25,WR,15,8,75,46,61.30%,719,15.6,5,27,46.7,58,9.6,3.1,47.9,1
53,Diontae Johnson,PIT,27,WR,13,11,87,51,58.60%,717,14.1,5,37,52.9,71,8.2,3.9,55.2,1
54,Tank Dell,HOU,24,WR,11,8,75,47,62.70%,709,15.1,7,34,54.7,68,9.5,4.3,64.5,1
55,Romeo Doubs,GNB,23,WR,17,16,96,59,61.50%,674,11.4,8,41,51,36,7,3.5,39.6,1
56,Dalton Kincaid,BUF,24,TE,16,11,91,73,80.20%,673,9.2,2,29,61.5,51,7.4,4.6,42.1,1
57,Tyler Boyd,CIN,29,WR,17,13,98,67,68.40%,667,10,2,28,46.9,64,6.8,3.9,39.2,0
58,Kyle Pitts,ATL,23,TE,17,15,90,53,58.90%,667,12.6,3,35,52.2,39,7.4,3.1,39.2,0
59,Brandin Cooks,DAL,30,WR,16,15,81,54,66.70%,657,12.2,8,38,59.3,37,8.1,3.4,41.1,1
60,Tee Higgins,CIN,24,WR,12,11,76,42,55.30%,656,15.6,5,33,53.9,80,8.6,3.5,54.7,0
61,Elijah Moore,CLE,23,WR,17,12,104,59,56.70%,640,10.8,2,29,42.3,42,6.2,3.5,37.6,2
62,Dalton Schultz,HOU,27,TE,15,8,88,59,67.00%,635,10.8,5,35,52.3,31,7.2,3.9,42.3,1
