Player,Pos.,Team,Total Value,APY,Total Guaranteed,Avg. Guarantee/Year,% Guaranteed
Justin Jefferson,WR,Vikings,"$140,000,000","$35,000,000","$88,743,000","$22,185,750",63.40%
A.J. Brown,WR,Eagles,"$96,000,000","$32,000,000","$51,000,000","$17,000,000",53.10%
Amon-Ra St. Brown,WR,Lions,"$120,010,000","$30,002,500","$34,666,000","$8,666,500",28.90%
Tyreek Hill,WR,Dolphins,"$90,000,000","$30,000,000","$54,000,000","$18,000,000",60.00%
Jaylen Waddle,WR,Dolphins,"$84,750,000","$28,250,000","$35,978,546","$11,992,849",42.50%
Davante Adams,WR,Raiders,"$140,000,000","$28,000,000","$22,750,000","$4,550,000",16.30%
D.J. Moore,WR,Bears,"$110,000,000","$27,500,000","$43,650,000","$10,912,500",39.70%
Cooper Kupp,WR,Rams,"$80,100,000","$26,700,000","$35,000,000","$11,666,667",43.70%
DeVonta Smith,WR,Eagles,"$75,000,000","$25,000,000","$33,997,554","$11,332,518",45.30%
Nico Collins,WR,Texans,"$72,750,000","$24,250,000","$32,116,000","$10,705,333",44.10%
D.K. Metcalf,WR,Seahawks,"$72,000,000","$24,000,000","$31,000,000","$10,333,333",43.10%
Deebo Samuel,WR,49ers,"$71,550,000","$23,850,000","$41,000,000","$13,666,667",57.30%
"Michael Pittman, Jr.",WR,Colts,"$70,000,000","$23,333,333","$41,000,000","$13,666,667",58.60%
Terry McLaurin,WR,Commanders,"$69,600,000","$23,200,000","$34,654,118","$11,551,373",49.80%
Calvin Ridley,WR,Titans,"$92,000,000","$23,000,000","$46,980,000","$11,745,000",51.10%
Stefon Diggs,WR,Texans,"$22,520,000","$22,520,000","$22,015,000","$22,015,000",97.80%
Tee Higgins,WR,Bengals,"$21,816,000","$21,816,000","$21,816,000","$21,816,000",100.00%
Mike Evans,WR,Buccaneers,"$41,000,000","$20,500,000","$29,000,000","$14,500,000",70.70%
Keenan Allen,WR,Bears,"$80,100,000","$20,025,000","$32,000,000","$8,000,000",40.00%
Chris Godwin,WR,Buccaneers,"$60,000,000","$20,000,000","$40,000,000","$13,333,333",66.70%
Amari Cooper,WR,Browns,"$100,000,000","$20,000,000","$40,000,000","$8,000,000",40.00%
Diontae Johnson,WR,Panthers,"$36,710,000","$18,355,000","$19,000,000","$9,500,000",51.80%
Christian Kirk,WR,Jaguars,"$72,000,000","$18,000,000","$37,000,000","$9,250,000",51.40%
Jerry Jeudy,WR,Browns,"$52,500,000","$17,500,000","$41,000,000","$13,666,667",78.10%
Travis Kelce,TE,Chiefs,"$34,250,000","$17,125,000","$17,000,000","$8,500,000",49.60%
T.J. Hockenson,TE,Vikings,"$66,000,000","$16,500,000","$29,292,000","$7,323,000",44.40%
George Kittle,TE,49ers,"$75,000,000","$15,000,000","$30,000,000","$6,000,000",40.00%
Tyler Lockett,WR,Seahawks,"$30,000,000","$15,000,000","$12,660,000","$6,330,000",42.20%
Dallas Goedert,TE,Eagles,"$57,000,000","$14,250,000","$14,877,549","$3,719,387",26.10%
Mark Andrews,TE,Ravens,"$56,000,000","$14,000,000","$30,083,059","$7,520,765",53.70%
Evan Engram,TE,Jaguars,"$41,250,000","$13,750,000","$24,000,000","$8,000,000",58.20%
Courtland Sutton,WR,Broncos,"$27,500,000","$13,750,000",$0,$0,0.00%
David Njoku,TE,Browns,"$54,750,000","$13,687,500","$17,000,000","$4,250,000",31.10%
Gabriel Davis,WR,Jaguars,"$39,000,000","$13,000,000","$24,000,000","$8,000,000",61.50%
DeAndre Hopkins,WR,Titans,"$26,000,000","$13,000,000","$10,980,000","$5,490,000",42.20%
Darnell Mooney,WR,Falcons,"$39,000,000","$13,000,000","$26,000,000","$8,666,667",66.70%
